resource_uri,exemplarOf,identifier,spatial,owns,holdingAgent
https://collection.rcgs.jp/resource/ITEM0003270,https://collection.rcgs.jp/resource/PACKAGE0002089,S6831|RCGSa0003275,C47,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013177,,S16008|RCGSa0006937,51,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001026,https://collection.rcgs.jp/resource/PACKAGE0001668,S4634|RCGSa0001025,A6,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009008,,RCGSa0013219|S12277,A191,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017913,,RCGSa0018760,19,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019155,,RCGSa0019444,P14,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004475,https://collection.rcgs.jp/resource/PACKAGE0006052,RCGSa0006679|S8013,D18,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0014635,,S17533|RCGSa0005979,V14,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011739,,RCGSa0004633|S14624,V85,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009854,https://collection.rcgs.jp/resource/PACKAGE0010069,RCGSa0014014|S13078,A131,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0006620,https://collection.rcgs.jp/resource/PACKAGE0005779,RCGSa0010775|S9877,D5,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000274,https://collection.rcgs.jp/resource/PACKAGE0001542,RCGSa0000276|S3888,A4,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013276,,S16096|RCGSa0013776,39,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011937,,S14805|RCGSa0005107,V115,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020367,,RCGSa0021981,53,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0012787,,S15471|RCGSa0005870,V2,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0008082,https://collection.rcgs.jp/resource/PACKAGE0008679,S11813|RCGSa0012728,D35,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009327,https://collection.rcgs.jp/resource/PACKAGE0009571,RCGSa0013977|S12564,C5,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0015059,,RCGSa0017417|S17938,V180,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011366,https://collection.rcgs.jp/resource/PACKAGE0016322,RCGSa0020721|S14446|E-lb-565,A149,https://collection.rcgs.jp/resource/AGENT0002935,
https://collection.rcgs.jp/resource/ITEM0010230,https://collection.rcgs.jp/resource/PACKAGE0010309,RCGSa0015120|S13375,C174,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019276,,RCGSa0019230,P15,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001692,https://collection.rcgs.jp/resource/PACKAGE0004824,S5271|RCGSa0001693,C74,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0006119,https://collection.rcgs.jp/resource/PACKAGE0003290,S9459|RCGSa0010124,C108,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0002642,https://collection.rcgs.jp/resource/PACKAGE0003819,RCGSa0002646|S6207,C111,https://collection.rcgs.jp/resource/AGENT0000848,
