resource_uri,skos_prefLabel_ja,skos_prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,additionalType,startDate,endDate,address,latitude,longitude,relatedOrganization,member,logo,source
https://collection.rcgs.jp/resource/AGENT0001608,,Wired Productions,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C45671,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/AGENT0004324,,Comics House,,,,,,,https://www.wikidata.org/entity/Q576741,,https://ms.wikipedia.org/wiki/Comics_House,http://id.loc.gov/vocabulary/iso639-2/msa,,,企業,1995,2016,,,,,,,https://ms.wikipedia.org/wiki/Comics_House (accessed 2019-09-19)
https://collection.rcgs.jp/resource/AGENT0003354,,Bullfrog Productions,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46824,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0002628
https://collection.rcgs.jp/resource/AGENT0000144,,Miracle Kidz,,http://mkidz.jp/,2008年、設立。,,,,,https://twitter.com/miracle_kidz,https://mediaarts-db.bunka.go.jp/id/C44752,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,2008-01-18,,東京都北区赤羽西1丁目23番2号,,,https://collection.rcgs.jp/resource/AGENT0000438,,,http://mkidz.jp/info/ (accessed 2018-10-25)|http://www.houjin-bangou.nta.go.jp/ (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0001693,モノビット,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C45741,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/AGENT0001946,日本ベンディング,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C45958,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/AGENT0002039,ファルコン,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46043,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/AGENT0000966,ガイズウェア,guyzware Inc.,株式会社ガイズウェア,http://www.guyzware.jp/,,,,,https://www.wikidata.org/entity/Q3780072,,https://mediaarts-db.bunka.go.jp/id/C45121|https://ja.wikipedia.org/wiki/ガイズウェア%20,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,2006-03-03,,東京都品川区西五反田七丁目9番2号 KDX五反田ビル7F,,,https://collection.rcgs.jp/resource/AGENT0000752|https://collection.rcgs.jp/resource/AGENT0000731,,,https://ja.wikipedia.org/wiki/ガイズウェア (accessed 2018-10-25)|http://www.guyzware.jp/ (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0003003,,TNN,株式会社TNN,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46505,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,,,東京都港区,,,,,,https://collection.rcgs.jp/resource/PACKAGE0001746|https://www.mobygames.com/company/tnn (accessed 2018-10-25)|https://ja.wikipedia.org/wiki/海腹川背 (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0001015,,SIE Santa Monica Studio,"Santa Monica Studio, LLC|SIEサンタモニカスタジオ",http://sms.playstation.com/,1999年、SCE Santa Monica Studioを設立。2016年、ソニー・コンピュータエンタテインメントとソニー・ネットワークエンタテインメントインターナショナルが統合して、SIE Santa Monica Studioを設立。,,,https://viaf.org/viaf/232483995,https://www.wikidata.org/entity/Q656710,https://twitter.com/SonySantaMonica,https://mediaarts-db.bunka.go.jp/id/C45162|https://en.wikipedia.org/wiki/SIE_Santa_Monica_Studio,http://id.loc.gov/vocabulary/iso639-2/jpn|http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,2016,,"Los Angeles, California, United States",,,https://collection.rcgs.jp/resource/AGENT0000031,,,https://collection.rcgs.jp/resource/PACKAGE0005996|https://ja.wikipedia.org/wiki/SCEサンタモニカスタジオ (accessed 2018-12-15)|http://sms.playstation.com/studio/ (accessed 2018-12-15)|https://www.mobygames.com/company/sie-santa-monica-studio (accessed 2018-12-15)|https://en.wikipedia.org/wiki/SIE_Santa_Monica_Studio (accessed 2018-12-15)
https://collection.rcgs.jp/resource/AGENT0003148,,PSYGNOSIS LTD.,Psygnosis Limited,,1984年、設立。1993年、Sony Computer Entertainmentの子会社になる。2000年、廃止。Sonyのブランドとしては2000年、CE Studio Liverpoolのブランドとして2012年まで発売される。,,,https://viaf.org/viaf/139808426,https://www.wikidata.org/entity/Q3410210,,https://mediaarts-db.bunka.go.jp/id/C46635|https://en.wikipedia.org/wiki/Psygnosis,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1985-07-03,2000,"Napier Court, Wavertree Technology Park, Liverpool, United Kingdom",,,https://collection.rcgs.jp/resource/AGENT0001159,,,https://www.mobygames.com/company/psygnosis-limited (accessed 2018-12-05)|https://collection.rcgs.jp/resource/PACKAGE0007643|https://en.wikipedia.org/wiki/Psygnosis (accessed 2018-12-05)
https://collection.rcgs.jp/resource/AGENT0003339,日経ホーム出版社,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46809,,,,,,,東京都港区,,,,,,https://collection.rcgs.jp/resource/PACKAGE0018622
https://collection.rcgs.jp/resource/AGENT0001353,ワープ,Warp Inc.,株式会社ワープ,http://www.warp-jp.com,1994年、飯野賢治がワープ設立。2000年、株式会社スーパーワープに商号変更　（廃止）。,,,https://viaf.org/viaf/258182587,,,https://mediaarts-db.bunka.go.jp/id/C45453,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1994,2000,東京都港区北青山2-12-28,,,,,,https://fyto.com/company.html (accessed 2018-10-25)|http://www.stoq.net/warp/warp.html  (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0008380|https://ja.wikipedia.org/wiki/飯野賢治 (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0001210,テンゲン,Tengen Ltd.,株式会社テンゲン,,1994年、テンゲン日本法人は「株式会社タイムワーナーインタラクティブ（TWI）」に社名変更。,,,,https://www.wikidata.org/entity/Q2536056,,https://ja.wikipedia.org/wiki/テンゲン|https://mediaarts-db.bunka.go.jp/id/C45337,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,,1994,東京都千代田区岩本町2-19-5,,,https://collection.rcgs.jp/resource/AGENT0002815,,,https://collection.rcgs.jp/resource/PACKAGE0000634|https://ja.wikipedia.org/wiki/テンゲン (accessed 2018-10-25)|https://www.mobygames.com/company/tengen-ltd (accessed 2018-10-25)
