resource_uri,prefLabel_ja,prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,hasOccupation,birthDate,deathDate,birthPlace,deathPlace,homeLocation,mbox,addressCountry,additionalName,title,source
https://collection.rcgs.jp/resource/AGENT0005304,,Patrick Koudstaal,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,429363",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0024421|https://www.mobygames.com/developer/sheet/view/developerId,429363/ (accessed 2019-11-18)"
https://collection.rcgs.jp/resource/AGENT0005781,"井上, 雅明","INOUE, Masaaki",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,63292",,,サウンドエンジニアだと思われる。（20200106 高山）,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,63292/ (accessed 2020-01-06)|https://collection.rcgs.jp/resource/VARIATION0017681"
https://collection.rcgs.jp/resource/AGENT0003769,"鈴木, 信夫",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47223,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019656
https://collection.rcgs.jp/resource/AGENT0005103,,"TSUCHIYA, Naoyuki",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,186087",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,186087/ (accessed 2019-11-13)"
https://collection.rcgs.jp/resource/AGENT0003771,"小塚, 洋司",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47225,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019658
https://collection.rcgs.jp/resource/AGENT0005628,"植山, 幹郎","UEYAMA, Mikio",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,82625",,,,,,,,,,,,,,"https://ja.wikipedia.org/wiki/ガンヘッド_(PCエンジン) (accessed 2019-12-10)|https://collection.rcgs.jp/resource/VARIATION0001280|https://www.mobygames.com/developer/sheet/view/developerId,82625/ (accessed 2019-12-10)"
https://collection.rcgs.jp/resource/AGENT0006368,"沼尻, 真理子","NUMAJIRI, Mariko",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,143493",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,143493/ (accessed 2020-02-19)|https://collection.rcgs.jp/resource/VARIATION0005480"
https://collection.rcgs.jp/resource/AGENT0004710,,"SHIBATA, Hiroshi",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,832972",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0010389|https://www.mobygames.com/developer/sheet/view/developerId,832972/ (accessed 2019-10-23)"
https://collection.rcgs.jp/resource/AGENT0004499,"藤井, 貴矢","FUJII, Takaya",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,94265",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,94265/ (accessed 2019-10-16)|https://collection.rcgs.jp/resource/PACKAGE0015480"
https://collection.rcgs.jp/resource/AGENT0005104,,"SHIMOKAWA, Akemi",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,77106",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,77106/ (accessed 2019-11-13)"
