resource_uri,label,prefLabel,altLabel,spatial,date,description,identifier,closeMatch,twitch,freebase,mobyGames,metacritic,seeAlso,imdb,abstract,audience,natureOfContent,serialNumber,disambiguatingDescription,locationCreated,about,subjectOf,gameLocation,creator,productionCompany,relatedAgent,logo,relation,isPartOf,hasPart,precedes,succeeds,sequelTo,sequel,remadeAs,complements,expandedAs,spinOff,note,genre,narrativeGenre,theme,mood,setting,series,franchise,mechanic,protagonist
https://collection.rcgs.jp/resource/WORK0005399,シャドウハーツ・フロム・ザ・ニューワールド (2005),Shadow Hearts: From the New World|闇影之心：來自新世界|シャドウハーツ・フロム・ザ・ニューワールド,SHADOW HEARTS FROM THE NEW WORLD,,2005,,,https://www.wikidata.org/wiki/Q2738507,,,https://www.mobygames.com/game/shadow-hearts-from-the-new-world|https://www.mobygames.com/game/shadow-hearts-from-the-new-world-starter-pack|https://www.mobygames.com/game/shadow-hearts-from-the-new-world-premium-box,https://www.metacritic.com/game/playstation-2/shadow-hearts-from-the-new-world,https://ja.wikipedia.org/wiki/シャドウハーツ・フロム・ザ・ニューワールド,,,,,,,JP,,,https://collection.rcgs.jp/resource/TOPIC0000766,,https://collection.rcgs.jp/resource/AGENT0001138,,,,,,,,,,,,,,,コンピュータRPG,,,,,,,,
https://collection.rcgs.jp/resource/WORK0009280,ZERO DIVIDE -THE FINAL CINFLICT- (1997),ZERO DIVIDE -THE FINAL CINFLICT-,,,1997,,,,,,,,,,,,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0009253,サンライズ英雄譚2 (2001),サンライズ英雄譚2,,,2001,,,,,,,,,,,,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003310,ヒーローズファンタジア (2012),（日）|ヒーローズファンタジア|Heroes Phantasia,英雄幻想曲,,2012,,,https://www.wikidata.org/wiki/Q3785298,,,,,https://ja.wikipedia.org/wiki/ヒーローズファンタジア,,,,,,,JP,,,,,,,,,,,,,,,,,,,,コンピュータRPG,,,,,,,,
https://collection.rcgs.jp/resource/WORK0000595,カエル畑DEつかまえて,カエル畑DEつかまえて|蛙畑奇事,カエル畑DEつかまえて・夏 千木良参戦! ぽーたぶる,,,,,https://www.wikidata.org/wiki/Q11293923,,,,,https://ja.wikipedia.org/wiki/カエル畑DEつかまえて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0007032,改新!! ダービーアナリスト,改新!! ダービーアナリスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003334,プラネタリウムクリエイター 大平貴之監修 ホームスター ポータブル,大平貴之監修 家用星象儀 攜帶版|プラネタリウムクリエイター 大平貴之監修 ホームスター ポータブル|Homestar Portable,ホームスター ポータブル|ホームスターポータブル,,,,,https://www.wikidata.org/wiki/Q11335502,,,,,https://ja.wikipedia.org/wiki/プラネタリウムクリエイター_大平貴之監修_ホームスター_ポータブル,,,,,,,,,,,,,,,,,,,,,,,,,,,教育・学習,,,,,,,,
https://collection.rcgs.jp/resource/WORK0002334,旧約・女神転生 (1995),Kyuuyaku Megami Tensei|旧約・女神転生|舊約·女神轉生,,,1995,,,https://www.wikidata.org/wiki/Q969588,,,https://www.mobygames.com/game/kyyaku-megami-tensei-megami-tensei-i-ii,,https://ja.wikipedia.org/wiki/旧約・女神転生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0007526,STAR DRIVER 輝きのタクト 銀河美少年伝説,STAR DRIVER 輝きのタクト 銀河美少年伝説,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003933,ファイナルファイト2 (1993),파이널 파이트 2|快打旋风2|ファイナルファイト2|Final Fight 2,,,1993,,,https://www.wikidata.org/wiki/Q1321249,,/m/03x7rl,https://www.mobygames.com/game/final-fight-2,,https://ja.wikipedia.org/wiki/ファイナルファイト2,,,,,,,JP,,,https://collection.rcgs.jp/resource/TOPIC0000772,,https://collection.rcgs.jp/resource/AGENT0000013,,,,,,,,,,,,,,,ベルトスクロールアクションゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0002860,FIFA 09 (2008),FIFA 09|FIFA 09|FIFA 09|FIFA 09,FIFA 09 ALL-PLAY|피파 09,,2008,,,https://www.wikidata.org/wiki/Q719740,,/m/04czf4m,https://www.mobygames.com/game/fifa-soccer-09-all-play|https://www.mobygames.com/game/fifa-soccer-09__|https://www.mobygames.com/game/fifa-soccer-09|https://www.mobygames.com/game/fifa-soccer-09_|https://www.mobygames.com/game/fifa-soccer-09___,,https://ja.wikipedia.org/wiki/FIFA_09,,,,,,,,,,,,https://collection.rcgs.jp/resource/AGENT0001016,,,,,,https://collection.rcgs.jp/resource/WORK0002859,https://collection.rcgs.jp/resource/WORK0002861,,,,,,,,スポーツゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0001334,ドリームキャスト (1998),Dreamcast|ドリームキャスト|드림캐스트|Dreamcast,ドリキャス|ビジュアルメモリ|세가 드림캐스트|Dreamcast|Dreamcast|드림 캐스트|DREAMCAST|Sega Dreamcast|DC,,1998,,,https://www.wikidata.org/wiki/Q184198,,/m/07605,,,https://ja.wikipedia.org/wiki/ドリームキャスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://collection.rcgs.jp/resource/WORK0001508,ファイアーエムブレム 新・暗黒竜と光の剣 (2008),Fire Emblem: Shadow Dragon|火焰之纹章 新·暗黑龙与光之剑|ファイアーエムブレム 新・暗黒竜と光の剣,聖火降魔錄：新·暗黑龍與光之劍|新・暗黒竜と光の剣,,2008,,,https://www.wikidata.org/wiki/Q2698563,,/m/03cdhcs,https://www.mobygames.com/game/fire-emblem-shadow-dragon,,https://ja.wikipedia.org/wiki/ファイアーエムブレム_新・暗黒竜と光の剣,,,,,,,JP,,,,,https://collection.rcgs.jp/resource/AGENT0000132,,,,,,,,,,,,,,,シミュレーションロールプレイングゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0001550,ファイヤープロレスリングG (1999),ファイヤープロレスリングG,,,1999,,,https://www.wikidata.org/wiki/Q17208980,,,https://www.mobygames.com/game/fire-pro-wrestling-g,,https://ja.wikipedia.org/wiki/ファイヤープロレスリングG,,,,,,,,,,,,,,,,,,,,,,,,,,,アクション,アクション,,競争的|熱狂的,,,,,
https://collection.rcgs.jp/resource/WORK0001558,ファミスタ64 (1997),Famista 64|ファミスタ64,,,1997,,,https://www.wikidata.org/wiki/Q3066275,,/m/0g7r8v,,,https://ja.wikipedia.org/wiki/ファミスタ64,,,,,,,JP,,,,,https://collection.rcgs.jp/resource/AGENT0003921,,,,,,,,,,,,,,,スポーツゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0001870,ラブリーポップ麻雀 雀々しましょ (1998),ラブリーポップ麻雀 雀々しましょ|ラブリーポップ麻雀 雀々しましょ2,ラブリーポップ麻雀 雀々しましょ#續篇,,1998,,,https://www.wikidata.org/wiki/Q11347347,,,,,https://ja.wikipedia.org/wiki/ラブリーポップ麻雀_雀々しましょ,,,,,,,JP,,,,,,,,,,,,,,,,,,,,mahjong video game,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003580,アンジェリーク エトワール (2003),Etoile|安琪莉可 Etoile|アンジェリーク エトワール,安琪莉可 'etoile,,2003,,,https://www.wikidata.org/wiki/Q967563,,,,,https://ja.wikipedia.org/wiki/アンジェリーク_エトワール,,,,,,,,,,,,https://collection.rcgs.jp/resource/AGENT0003989,,,,,,,,,,,,,,,恋愛ゲーム,,,,,,,,
https://collection.rcgs.jp/resource/WORK0003494,Chanter -キミの歌がとどいたら-,Chanter -キミの歌がとどいたら-,,,,,,https://www.wikidata.org/wiki/Q11194442,,,,,https://ja.wikipedia.org/wiki/Chanter_-キミの歌がとどいたら-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
